trial,state,step,return_mean
0,COMPLETE,10000,-3.6
0,COMPLETE,20000,5.0
0,COMPLETE,30000,5.0
0,COMPLETE,40000,5.0
0,COMPLETE,50000,5.0
0,COMPLETE,60000,5.0
0,COMPLETE,70000,5.0
0,COMPLETE,80000,5.0
0,COMPLETE,90000,5.0
0,COMPLETE,100000,5.0
1,COMPLETE,10000,-100.0
1,COMPLETE,20000,-100.0
1,COMPLETE,30000,-81.35
1,COMPLETE,40000,-32.35
1,COMPLETE,50000,-100.0
1,COMPLETE,60000,2.95
1,COMPLETE,70000,-76.45
1,COMPLETE,80000,-79.45
1,COMPLETE,90000,-47.0
1,COMPLETE,100000,4.5
2,COMPLETE,10000,-1.35
2,COMPLETE,20000,5.0
2,COMPLETE,30000,-9.65
2,COMPLETE,40000,-52.8
2,COMPLETE,50000,-10.75
2,COMPLETE,60000,-10.6
2,COMPLETE,70000,-16.0
2,COMPLETE,80000,-26.5
2,COMPLETE,90000,-9.1
2,COMPLETE,100000,-16.1
3,COMPLETE,10000,-100.0
3,COMPLETE,20000,-100.0
3,COMPLETE,30000,-23.6
3,COMPLETE,40000,-16.85
3,COMPLETE,50000,-22.55
3,COMPLETE,60000,-11.6
3,COMPLETE,70000,-100.0
3,COMPLETE,80000,-100.0
3,COMPLETE,90000,-90.65
3,COMPLETE,100000,-100.0
4,COMPLETE,10000,-1.6
4,COMPLETE,20000,-5.55
4,COMPLETE,30000,5.0
4,COMPLETE,40000,-5.5
4,COMPLETE,50000,-0.25
4,COMPLETE,60000,-69.45
4,COMPLETE,70000,-37.0
4,COMPLETE,80000,-74.1
4,COMPLETE,90000,-100.0
4,COMPLETE,100000,-28.4
5,PRUNED,10000,-100.0
5,PRUNED,20000,-100.0
6,PRUNED,10000,-58.2
6,PRUNED,20000,-100.0
7,COMPLETE,10000,-100.0
7,COMPLETE,20000,4.75
7,COMPLETE,30000,5.0
7,COMPLETE,40000,5.0
7,COMPLETE,50000,5.0
7,COMPLETE,60000,5.0
7,COMPLETE,70000,5.0
7,COMPLETE,80000,5.0
7,COMPLETE,90000,5.0
7,COMPLETE,100000,-8.55
8,PRUNED,10000,-100.0
8,PRUNED,20000,-100.0
9,PRUNED,10000,-100.0
9,PRUNED,20000,-4.4
10,PRUNED,10000,-100.0
10,PRUNED,20000,-100.0
11,PRUNED,10000,-100.0
11,PRUNED,20000,-1.5
12,COMPLETE,10000,-8.4
12,COMPLETE,20000,5.0
12,COMPLETE,30000,5.0
12,COMPLETE,40000,5.0
12,COMPLETE,50000,-50.95
12,COMPLETE,60000,5.0
12,COMPLETE,70000,5.0
12,COMPLETE,80000,5.0
12,COMPLETE,90000,-52.75
12,COMPLETE,100000,-10.75
13,PRUNED,10000,-100.0
13,PRUNED,20000,-100.0
14,PRUNED,10000,-29.85
14,PRUNED,20000,-100.0
15,COMPLETE,10000,-63.25
15,COMPLETE,20000,5.0
15,COMPLETE,30000,5.0
15,COMPLETE,40000,5.0
15,COMPLETE,50000,5.0
15,COMPLETE,60000,5.0
15,COMPLETE,70000,4.95
15,COMPLETE,80000,5.0
15,COMPLETE,90000,5.0
15,COMPLETE,100000,-27.2
16,COMPLETE,10000,5.0
16,COMPLETE,20000,5.0
16,COMPLETE,30000,5.0
16,COMPLETE,40000,4.55
16,COMPLETE,50000,-0.25
16,COMPLETE,60000,5.0
16,COMPLETE,70000,5.0
16,COMPLETE,80000,-5.5
16,COMPLETE,90000,-0.25
16,COMPLETE,100000,-95.15
17,COMPLETE,10000,-52.75
17,COMPLETE,20000,5.0
17,COMPLETE,30000,5.0
17,COMPLETE,40000,5.0
17,COMPLETE,50000,-32.05
17,COMPLETE,60000,5.0
17,COMPLETE,70000,-86.45
17,COMPLETE,80000,-34.85
17,COMPLETE,90000,5.0
17,COMPLETE,100000,5.0
18,PRUNED,10000,-100.0
18,PRUNED,20000,-100.0
19,COMPLETE,10000,-6.9
19,COMPLETE,20000,5.0
19,COMPLETE,30000,5.0
19,COMPLETE,40000,-97.85
19,COMPLETE,50000,5.0
19,COMPLETE,60000,5.0
19,COMPLETE,70000,-10.75
19,COMPLETE,80000,4.75
19,COMPLETE,90000,-7.0
19,COMPLETE,100000,5.0
20,PRUNED,10000,4.95
20,PRUNED,20000,4.55
21,PRUNED,10000,-42.75
21,PRUNED,20000,3.85
22,COMPLETE,10000,-23.8
22,COMPLETE,20000,5.0
22,COMPLETE,30000,5.0
22,COMPLETE,40000,5.0
22,COMPLETE,50000,5.0
22,COMPLETE,60000,5.0
22,COMPLETE,70000,5.0
22,COMPLETE,80000,5.0
22,COMPLETE,90000,5.0
22,COMPLETE,100000,5.0
23,PRUNED,10000,-100.0
23,PRUNED,20000,-16.3
24,COMPLETE,10000,-40.5
24,COMPLETE,20000,5.0
24,COMPLETE,30000,3.35
24,COMPLETE,40000,5.0
24,COMPLETE,50000,5.0
24,COMPLETE,60000,5.0
24,COMPLETE,70000,5.0
24,COMPLETE,80000,5.0
24,COMPLETE,90000,-0.25
24,COMPLETE,100000,5.0
25,COMPLETE,10000,-12.4
25,COMPLETE,20000,5.0
25,COMPLETE,30000,4.8
25,COMPLETE,40000,4.95
25,COMPLETE,50000,5.0
25,COMPLETE,60000,5.0
25,COMPLETE,70000,5.0
25,COMPLETE,80000,5.0
25,COMPLETE,90000,5.0
25,COMPLETE,100000,5.0
26,COMPLETE,10000,-14.5
26,COMPLETE,20000,5.0
26,COMPLETE,30000,-8.55
26,COMPLETE,40000,5.0
26,COMPLETE,50000,5.0
26,COMPLETE,60000,5.0
26,COMPLETE,70000,5.0
26,COMPLETE,80000,5.0
26,COMPLETE,90000,5.0
26,COMPLETE,100000,5.0
27,PRUNED,10000,-41.9
27,PRUNED,20000,-100.0
28,PRUNED,10000,-100.0
28,PRUNED,20000,-30.1
29,PRUNED,10000,-73.75
29,PRUNED,20000,-100.0
